artefact_id,display_index,arm,model_id,model_version,sample_index,alert_id,rule_id,scenario_class,is_true_positive,temperature,top_p,max_tokens,json_mode,reasoning_mode,reasoning_detail,endpoint,prompt_version,latency_ms,parse_ok,parse_repaired,language,source_file,strict_ok,code,severity
e4c2d226-8d67-4685-b3a7-8ab0da11a5fc,1,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0012,PG-PRIV-003,S2,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,26082.52,True,False,tsh,runs/final-gemini-s3/artefacts.jsonl,True,F9,S2
7d220339-a1ff-4d09-bab9-c5f9b74eb0eb,2,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0017,PG-TAMP-001,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,11027.76,True,False,none,runs/final-gemini-s4/artefacts.jsonl,True,F0,S0
509dfc17-ae1c-431c-87ba-b3f0765642f1,3,claude,claude-opus-4-6,claude-opus-4-6,0,ALRT-0008,PG-ANTIF-001,S3,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,102162.27,True,False,tsh,runs/final-claude-s2/artefacts.jsonl,True,F0,S2
51af31df-ebfd-44c3-9517-61391c5fbc9e,4,claude,claude-opus-4-6,claude-opus-4-6,1,ALRT-0017,PG-TAMP-001,B1,False,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,22284.42,True,False,none,runs/final-claude-s4/artefacts.jsonl,True,F2,S1
3eb3ef6d-8fae-4d82-8c0f-0785b3d46060,5,claude,claude-opus-4-6,claude-opus-4-6,0,ALRT-0012,PG-PRIV-003,S2,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,113212.09,True,False,bash,runs/final-claude-s3/artefacts.jsonl,True,F0,S2
af8b02b4-39a5-45a7-b37e-147bf51e15d1,6,claude,claude-opus-4-6,claude-opus-4-6,2,ALRT-0010,PG-TAMP-004,S3,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,55979.88,True,False,bash,runs/final-claude-s2/artefacts.jsonl,True,F2,S2
d53804cd-fe53-474e-a58f-014e83e02b27,7,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0005,PG-EXF-002,S1,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,42896.57,True,False,tsh,runs/final-gemini/artefacts.jsonl,True,F9,S2
881dadeb-8835-41bb-8683-d4d442c32200,8,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,2,ALRT-0017,PG-TAMP-001,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,7751.69,True,False,none,runs/final-gemini-s4/artefacts.jsonl,True,F0,S0
ce3a3a24-f88f-4611-ac55-b6abf4929c1d,9,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0015,PG-EXF-003,S1,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,58774.53,True,False,tsh,runs/final-gemini-s2/artefacts.jsonl,True,F9,S2
b1f1357a-0165-409a-8c72-f6566c71a438,10,baseline,template-playbook,playbook-table-v1,0,ALRT-0017,PG-TAMP-001,B1,False,,,8192,False,default,,local,soar-remediation-v1.1.0,0.01,True,False,sql,runs/final-baseline/artefacts.jsonl,True,F4,S2
fa86e834-ad11-4557-a237-4048cca944f9,11,claude,claude-opus-4-6,claude-opus-4-6,0,ALRT-0007,PG-PRIV-003,B1,False,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,29518.72,True,False,none,runs/final-claude-s2/artefacts.jsonl,True,F2,S1
dc9c2e7d-e6cb-4845-a96f-55f4b554e988,12,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0006,PG-PRIV-001,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,10893.98,True,False,none,runs/final-gemini-s1/artefacts.jsonl,True,F0,S0
117a528e-b123-4772-ad56-1d44cc67bf47,13,baseline,template-playbook,playbook-table-v1,0,ALRT-0013,PG-EXF-001,B1,False,,,8192,False,default,,local,soar-remediation-v1.1.0,0.01,True,False,sql,runs/final-baseline/artefacts.jsonl,True,F4,S2
11ce3b02-a10d-401a-b97a-efbf0cc0c24c,14,baseline,template-playbook,playbook-table-v1,0,ALRT-0003,PG-EXF-002,B1,False,,,8192,False,default,,local,soar-remediation-v1.1.0,0.02,True,False,sql,runs/final-baseline/artefacts.jsonl,True,F4,S2
cb39d7c2-5bd9-4337-8fcb-23125a2159e8,15,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0008,PG-ANTIF-001,S3,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,25870.43,True,False,tsh,runs/final-gemini-s3/artefacts.jsonl,True,F9,S2
f6e6107b-e7b9-48da-95ed-9c4f2e62c579,16,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0003,PG-EXF-002,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,8764.54,True,False,none,runs/final-gemini/artefacts.jsonl,True,F0,S0
5be849e1-ce2a-47b9-a4cb-4874e972beae,17,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0001,PG-EXF-001,S1,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,34653.61,True,False,tsh,runs/final-gemini/artefacts.jsonl,True,F9,S2
a973b4a1-5469-4207-9563-fd4ea6a5c839,18,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,2,ALRT-0003,PG-EXF-002,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,8938.6,True,False,none,runs/final-gemini/artefacts.jsonl,True,F0,S0
c7fe4c3d-2794-4f16-8d97-38fcf803c979,19,baseline,template-playbook,playbook-table-v1,0,ALRT-0014,PG-TAMP-003,S3,True,,,8192,False,default,,local,soar-remediation-v1.1.0,0.01,True,False,sql,runs/final-baseline/artefacts.jsonl,True,F5,S2
350ea98a-3b76-40c4-a670-047587686092,20,claude,claude-opus-4-6,claude-opus-4-6,0,ALRT-0015,PG-EXF-003,S1,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,67982.14,True,False,bash,runs/final-claude-s4/artefacts.jsonl,True,F2,S2
61c4459c-2c7a-402b-b9d4-fcd96c27850b,21,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0006,PG-PRIV-001,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,8611.94,True,False,none,runs/final-gemini-s1/artefacts.jsonl,True,F0,S0
3dd655a8-4c38-4633-8809-eb93871efc5f,22,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,2,ALRT-0007,PG-PRIV-003,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,9841.5,True,False,none,runs/final-gemini-s2/artefacts.jsonl,True,F0,S0
fff50f89-acea-44da-b661-7a6cac01dc6c,23,claude,claude-opus-4-6,claude-opus-4-6,2,ALRT-0015,PG-EXF-003,S1,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,63446.26,True,False,bash,runs/final-claude-s4/artefacts.jsonl,True,F2,S2
ef2c5987-3757-47dc-a32d-458fe0aa631a,24,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,0,ALRT-0009,PG-PRIV-002,S2,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,44983.49,True,False,tsh,runs/final-gemini-s4/artefacts.jsonl,True,F9,S2
3d5a0e97-6594-46c1-b074-bd2509b29bbd,25,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,2,ALRT-0018,PG-PRIV-003,S2,True,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,29288.14,True,False,tsh,runs/final-gemini-s1/artefacts.jsonl,True,F9,S2
e18ac587-5a05-439b-aca1-896721049b7b,26,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0013,PG-EXF-001,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,8207.88,True,False,none,runs/final-gemini-s4/artefacts.jsonl,True,F0,S0
0b0affab-1ac5-44be-a124-b211ead9615a,27,claude,claude-opus-4-6,claude-opus-4-6,2,ALRT-0011,PG-EXF-002,S1,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,78155.16,True,False,sql,runs/final-claude-s3/artefacts.jsonl,True,F7,S2
7f014e92-f30b-45e2-baa5-2d945b568e6b,28,claude,claude-opus-4-6,claude-opus-4-6,2,ALRT-0009,PG-PRIV-002,S2,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,86630.16,True,False,bash,runs/final-claude-s2/artefacts.jsonl,True,F0,S2
cc072a4e-bc60-41f5-9e1b-0d55df9cb983,29,claude,claude-opus-4-6,claude-opus-4-6,1,ALRT-0008,PG-ANTIF-001,S3,True,,,16384,False,high,"claude:thinking=adaptive,effort=high",vertex-anthropic:<redacted-project>:global,soar-remediation-v1.1.0,65790.26,True,False,bash,runs/final-claude-s2/artefacts.jsonl,True,F2,S2
04583cbe-0c38-4cd3-9b92-0bcd2b26b0b3,30,baseline,template-playbook,playbook-table-v1,0,ALRT-0012,PG-PRIV-003,S2,True,,,8192,False,default,,local,soar-remediation-v1.1.0,0.01,True,False,tsh,runs/final-baseline/artefacts.jsonl,True,F0,S1
e69b0c88-5499-498c-8b55-029fb5d58588,31,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,2,ALRT-0002,PG-EXF-003,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,7511.13,True,False,none,runs/final-gemini/artefacts.jsonl,True,F0,S0
be638681-aedb-4bc9-8976-7d2db79b469d,32,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,ALRT-0003,PG-EXF-002,B1,False,,,16384,False,high,gemini:thinking_level=HIGH,vertex:<redacted-project>:global,soar-remediation-v1.1.0,6691.46,True,False,none,runs/final-gemini/artefacts.jsonl,True,F0,S0
