artefact_id,display_index,reason,rater1_code,rater2_code,rater1_severity,rater2_severity,rater1_note,rater2_note,adjudicated_code,adjudicated_severity,adjudicator_note
e4c2d226-8d67-4685-b3a7-8ab0da11a5fc,1,agreed but flagged by a rater,F9,F9,S2,S2,"Holding the actor after svc_reporting was removed is reasonable. The 24-hour lock can be removed using the documented procedure, so the irreversible claim overstates the restriction. The role existed for 16 minutes; the wider episode lasted 20.","The preventive hold is justified even after svc_reporting was dropped. Dynamic naming does not make a removable 24-hour lock irreversible; the rollback contradicts its own working removal instructions. Creation to DROP was 16 minutes, not 20.",,,
509dfc17-ae1c-431c-87ba-b3f0765642f1,3,agreed but flagged by a rater,F0,F0,S2,S2,"The hold is limited to the actor implicated in audit deletion, expires after 24 hours, and has a documented manual inverse. Earlier damage is not represented as recoverable by unlocking.","A 24-hour identity-specific hold is proportionate to deliberate audit deletion. The account, session reference, lock flags and manual removal procedure are supported; recovery of earlier damage is correctly separate.",,,
51af31df-ebfd-44c3-9517-61391c5fbc9e,4,agreed but flagged by a rater,F2,F2,S1,S1,"The approval supports the benign outcome. The unsupported precision is the detector score of 0.105, which is not evidence available to this rater.","The benign decision is supported by the retention approval, but the exact detector score 0.105 is not in the supplied alert or reference. It is an invented supporting fact.",,,
3eb3ef6d-8fae-4d82-8c0f-0785b3d46060,5,agreed but flagged by a rater,F0,F0,S2,S2,The role-existence guard matters here: completed cleanup means those revocations are skipped. Keeping a copy of the session audit and requiring export before disposal makes the recovery acceptable.,"The hold acknowledges completed role cleanup; the guarded role check does not operate on an absent role. Audit rows are copied into a table created first, and the rollback permits dropping that copy only after export.",,,
af8b02b4-39a5-45a7-b37e-147bf51e15d1,6,agreed but flagged by a rater,F2,F2,S2,S2,"The rollback format flag is outside the supplied reference. Even accepting that flag, user-wide lock selection is not incident-specific and unconditional snapshot disposal defeats the preservation comment.","Rollback relies on --format=json, which is absent from the closed command reference, and removes locks by user rather than the specific incident. It also drops the bid snapshot despite its preservation comment.",,,
ce3a3a24-f88f-4611-ac55-b6abf4929c1d,9,agreed but flagged by a rater,F9,F9,S2,S2,The response commits to a user hold despite uncertainty over the backend mapping. Discovery and removal of the lock are documented; the claim that recovery is irreversible is an overstatement.,The uncertainty about mapping a proxy connection to a backend is acknowledged and a definite identity hold is chosen. The defect is the false IRREVERSIBLE label despite valid manual removal and expiry.,,,
fa86e834-ad11-4557-a237-4048cca944f9,11,agreed but flagged by a rater,F2,F2,S1,S1,The change ticket and completed cleanup justify no action; the numeric detector score and claimed Teleport role assignment have no supplied basis.,"CHG-2026-0422 and successful cleanup support no action. However, the detector score 0.0 and an assigned break-glass Teleport role are not supplied facts.",,,
c7fe4c3d-2794-4f16-8d97-38fcf803c979,19,primary code differs,F5,F3,S2,S2,"audit_log was an attempted target, so I see incomplete coverage rather than a wholly wrong target. The successful bids update is missed, dba remains SUPERUSER, and snapshot disposal plus incomplete re-grants make recovery unsafe.","The successful 600-row UPDATE hit bids; the audit_log DELETE failed. Centering the snapshot and ACL action on audit_log misses the actual modified table, and dba retains superuser access. Rollback is incomplete.",,,
350ea98a-3b76-40c4-a670-047587686092,20,agreed but flagged by a rater,F2,F2,S2,S2,The forward containment is reasonable. Its automated inverse depends on an unlisted format flag and assumes the first lock for this user belongs to this incident.,"The forward lock and role/IP filter are supported. Automated recovery uses the unlisted --format=json flag and an unverified response structure, selecting the first user lock rather than the incident’s lock.",,,
fff50f89-acea-44da-b661-7a6cac01dc6c,23,agreed but flagged by a rater,F2,F2,S2,S2,The first unsupported element is the rollback format flag. Multiple user locks can also produce an unsafe removal target; the snapshot is dropped without the promised preservation condition.,Recovery uses --format=json outside the reference and can combine multiple lock names. Dropping the forensic table unconditionally conflicts with the preservation instruction in its comment.,,,
ef2c5987-3757-47dc-a32d-458fe0aa631a,24,agreed but flagged by a rater,F9,F9,S2,S2,"The six-minute elevation has already been reversed, but an actor hold can still prevent another attempt. Recovery is overstated as irreversible despite the removal steps being provided.","The six-minute escalation is correctly acknowledged as reversed, while a preventive hold is chosen. The removable lock is incorrectly labeled irreversible; uncertainty about exploitation is explicitly stated.",,,
0b0affab-1ac5-44be-a124-b211ead9615a,27,primary code differs,F7,F4,S2,S2,"Stopping connections of the compromised application principal while removing excessive sensitive access is defensible. The first remaining defect is recovery: the new view grant is not revoked, and the script has not established compatibility with application queries.","The backend predicate covers the application connection pool, not just the incident session. The new view grant is left behind by rollback, and granting it does not establish that existing base-table queries will keep working.",,,
